var;Name;val;s;alpha
Fx;PBE;1.044903482851567;0.46546546546546547;0.0
Fx;PBE;1.045819012847067;0.47047047047047047;0.0
Fx;PBE;1.0467420933819076;0.4754754754754755;0.0
Fx;PBE;1.0476726612780118;0.4804804804804805;0.0
Fx;PBE;1.048610653088489;0.4854854854854855;0.0
Fx;PBE;1.0495560051074266;0.4904904904904905;0.0
Fx;PBE;1.0505086533796586;0.4954954954954955;0.0
Fx;PBE;1.0514685337105103;0.5005005005005005;0.0
Fx;PBE;1.0524355816755142;0.5055055055055055;0.0
Fx;PBE;1.0534097326300973;0.5105105105105106;0.0
Fx;PBE;1.054390921719236;0.5155155155155156;0.0
Fx;PBE;1.0553790838870774;0.5205205205205206;0.0
Fx;PBE;1.0563741538865214;0.5255255255255256;0.0
Fx;PBE;1.0573760662887683;0.5305305305305306;0.0
